channel_id,date,spend
1,2023-01-01,241.61
1,2023-01-02,370.69
1,2023-01-03,135.81
1,2023-01-04,378.46
1,2023-01-05,458.2
1,2023-01-06,438.31
1,2023-01-07,367.95
1,2023-01-08,687.4
1,2023-01-09,201.73
1,2023-01-10,453.99
1,2023-01-11,143.43
1,2023-01-12,149.81
1,2023-01-13,501.71
1,2023-01-14,496.21
1,2023-01-15,714.62
1,2023-01-16,490.51
1,2023-01-17,771.85
1,2023-01-18,134.09
1,2023-01-19,168.61
1,2023-01-20,130.85
1,2023-01-21,229.69
1,2023-01-22,478.89
1,2023-01-23,551.9
1,2023-01-24,131.91
1,2023-01-25,762.18
1,2023-01-26,689.52
1,2023-01-27,307.63
1,2023-01-28,154.03
1,2023-01-29,218.92
1,2023-01-30,188.86
1,2023-01-31,186.3
1,2023-02-01,462.99
1,2023-02-02,272.09
1,2023-02-03,350.7
1,2023-02-04,792.65
1,2023-02-05,579.02
1,2023-02-06,764.29
1,2023-02-07,199.79
1,2023-02-08,367.5
1,2023-02-09,488.31
1,2023-02-10,153.73
1,2023-02-11,102.93
1,2023-02-12,569.3
1,2023-02-13,549.27
1,2023-02-14,387.55
1,2023-02-15,442.75
1,2023-02-16,390.81
1,2023-02-17,116.8
1,2023-02-18,334.76
1,2023-02-19,223.96
1,2023-02-20,168.9
1,2023-02-21,769.7
1,2023-02-22,519.55
1,2023-02-23,610.06
1,2023-02-24,320.75
1,2023-02-25,375.2
1,2023-02-26,265.85
1,2023-02-27,167.88
1,2023-02-28,225.32
1,2023-03-01,658.26
1,2023-03-02,574.28
1,2023-03-03,482.85
1,2023-03-04,432.56
1,2023-03-05,745.7
1,2023-03-06,150.91
1,2023-03-07,296.42
1,2023-03-08,344.96
1,2023-03-09,647.7
1,2023-03-10,794.76
1,2023-03-11,268.47
1,2023-03-12,712.02
1,2023-03-13,681.44
1,2023-03-14,257.26
1,2023-03-15,379.53
1,2023-03-16,386.77
1,2023-03-17,784.75
1,2023-03-18,226.62
1,2023-03-19,659.41
1,2023-03-20,333.93
1,2023-03-21,611.61
1,2023-03-22,394.01
1,2023-03-23,504.85
1,2023-03-24,682.83
1,2023-03-25,662.92
1,2023-03-26,706.5
1,2023-03-27,141.73
1,2023-03-28,584.44
1,2023-03-29,197.99
1,2023-03-30,391.07
1,2023-03-31,484.01
1,2023-04-01,381.92
1,2023-04-02,463.73
1,2023-04-03,797.57
1,2023-04-04,194.65
1,2023-04-05,572.82
1,2023-04-06,377.2
1,2023-04-07,193.11
1,2023-04-08,211.12
1,2023-04-09,764.49
1,2023-04-10,715.72
1,2023-04-11,734.93
1,2023-04-12,794.07
1,2023-04-13,245.82
1,2023-04-14,348.81
1,2023-04-15,568.45
1,2023-04-16,438.66
1,2023-04-17,392.87
1,2023-04-18,350.47
1,2023-04-19,515.65
1,2023-04-20,502.92
1,2023-04-21,213.02
1,2023-04-22,430.22
1,2023-04-23,487.43
1,2023-04-24,499.2
1,2023-04-25,247.08
1,2023-04-26,619.59
1,2023-04-27,117.64
1,2023-04-28,348.38
1,2023-04-29,646.15
1,2023-04-30,494.73
1,2023-05-01,282.81
1,2023-05-02,586.47
1,2023-05-03,497.17
1,2023-05-04,657.37
1,2023-05-05,614.52
1,2023-05-06,527.08
1,2023-05-07,441.72
1,2023-05-08,193.23
1,2023-05-09,282.93
1,2023-05-10,393.37
1,2023-05-11,519.51
1,2023-05-12,459.6
1,2023-05-13,301.73
1,2023-05-14,104.53
1,2023-05-15,447.37
1,2023-05-16,299.94
1,2023-05-17,614.23
1,2023-05-18,116.76
1,2023-05-19,509.38
1,2023-05-20,759.03
1,2023-05-21,222.09
1,2023-05-22,430.15
1,2023-05-23,164.0
1,2023-05-24,537.98
1,2023-05-25,485.37
1,2023-05-26,385.16
1,2023-05-27,464.96
1,2023-05-28,727.6
1,2023-05-29,237.41
1,2023-05-30,115.8
1,2023-05-31,703.17
1,2023-06-01,503.98
1,2023-06-02,723.46
1,2023-06-03,517.86
1,2023-06-04,667.11
1,2023-06-05,400.77
1,2023-06-06,624.9
1,2023-06-07,739.13
1,2023-06-08,500.49
1,2023-06-09,226.55
1,2023-06-10,288.16
1,2023-06-11,239.05
1,2023-06-12,272.8
1,2023-06-13,314.49
1,2023-06-14,488.59
1,2023-06-15,511.59
1,2023-06-16,398.55
1,2023-06-17,530.79
1,2023-06-18,157.1
1,2023-06-19,161.45
1,2023-06-20,220.28
1,2023-06-21,462.65
1,2023-06-22,249.8
1,2023-06-23,298.3
1,2023-06-24,380.22
1,2023-06-25,668.31
1,2023-06-26,109.7
1,2023-06-27,554.57
1,2023-06-28,568.21
1,2023-06-29,659.06
1,2023-06-30,752.93
1,2023-07-01,114.1
1,2023-07-02,207.65
1,2023-07-03,720.32
1,2023-07-04,420.96
1,2023-07-05,495.21
1,2023-07-06,564.12
1,2023-07-07,575.35
1,2023-07-08,752.22
1,2023-07-09,797.86
1,2023-07-10,604.11
1,2023-07-11,301.05
1,2023-07-12,715.83
1,2023-07-13,134.45
1,2023-07-14,261.76
1,2023-07-15,728.17
1,2023-07-16,279.33
1,2023-07-17,254.46
1,2023-07-18,196.69
1,2023-07-19,701.38
1,2023-07-20,450.04
1,2023-07-21,572.43
1,2023-07-22,267.35
1,2023-07-23,630.63
1,2023-07-24,632.0
1,2023-07-25,318.82
1,2023-07-26,387.48
1,2023-07-27,246.78
1,2023-07-28,783.59
1,2023-07-29,551.92
1,2023-07-30,754.18
1,2023-07-31,312.37
1,2023-08-01,647.32
1,2023-08-02,636.1
1,2023-08-03,584.16
1,2023-08-04,775.95
1,2023-08-05,375.49
1,2023-08-06,191.5
1,2023-08-07,570.2
1,2023-08-08,610.52
1,2023-08-09,502.54
1,2023-08-10,244.77
1,2023-08-11,453.12
1,2023-08-12,318.53
1,2023-08-13,399.23
1,2023-08-14,551.65
1,2023-08-15,621.65
1,2023-08-16,262.56
1,2023-08-17,383.73
1,2023-08-18,288.41
1,2023-08-19,239.04
1,2023-08-20,648.37
1,2023-08-21,736.48
1,2023-08-22,359.16
1,2023-08-23,625.9
1,2023-08-24,727.9
1,2023-08-25,692.29
1,2023-08-26,227.97
1,2023-08-27,769.4
1,2023-08-28,363.67
1,2023-08-29,337.47
1,2023-08-30,143.7
1,2023-08-31,440.32
1,2023-09-01,176.31
1,2023-09-02,273.98
1,2023-09-03,321.86
1,2023-09-04,666.18
1,2023-09-05,712.84
1,2023-09-06,311.73
1,2023-09-07,701.09
1,2023-09-08,700.06
1,2023-09-09,635.26
1,2023-09-10,202.69
1,2023-09-11,583.23
1,2023-09-12,761.52
1,2023-09-13,577.78
1,2023-09-14,332.13
1,2023-09-15,450.41
1,2023-09-16,552.01
1,2023-09-17,457.4
1,2023-09-18,183.97
1,2023-09-19,318.44
1,2023-09-20,661.68
1,2023-09-21,702.99
1,2023-09-22,196.11
1,2023-09-23,766.67
1,2023-09-24,330.18
1,2023-09-25,563.62
1,2023-09-26,626.28
1,2023-09-27,668.36
1,2023-09-28,762.02
1,2023-09-29,319.04
1,2023-09-30,700.95
1,2023-10-01,192.18
1,2023-10-02,593.53
1,2023-10-03,619.38
1,2023-10-04,574.41
1,2023-10-05,276.62
1,2023-10-06,711.13
1,2023-10-07,218.2
1,2023-10-08,137.54
1,2023-10-09,602.23
1,2023-10-10,432.83
1,2023-10-11,694.37
1,2023-10-12,368.38
1,2023-10-13,217.8
1,2023-10-14,685.51
1,2023-10-15,484.24
1,2023-10-16,232.44
1,2023-10-17,604.27
1,2023-10-18,457.78
1,2023-10-19,523.02
1,2023-10-20,422.63
1,2023-10-21,680.1
1,2023-10-22,680.69
1,2023-10-23,596.57
1,2023-10-24,173.78
1,2023-10-25,687.2
1,2023-10-26,569.71
1,2023-10-27,587.92
1,2023-10-28,354.09
1,2023-10-29,715.5
1,2023-10-30,607.76
1,2023-10-31,178.81
1,2023-11-01,385.44
1,2023-11-02,720.47
1,2023-11-03,133.04
1,2023-11-04,772.99
1,2023-11-05,575.41
1,2023-11-06,541.96
1,2023-11-07,289.39
1,2023-11-08,274.15
1,2023-11-09,759.44
1,2023-11-10,308.79
1,2023-11-11,642.85
1,2023-11-12,375.19
1,2023-11-13,197.48
1,2023-11-14,107.5
1,2023-11-15,480.98
1,2023-11-16,783.05
1,2023-11-17,358.4
1,2023-11-18,350.03
1,2023-11-19,340.86
1,2023-11-20,464.38
1,2023-11-21,408.47
1,2023-11-22,715.94
1,2023-11-23,453.86
1,2023-11-24,455.43
1,2023-11-25,196.86
1,2023-11-26,787.92
1,2023-11-27,274.98
1,2023-11-28,151.35
1,2023-11-29,564.2
1,2023-11-30,516.76
1,2023-12-01,390.6
1,2023-12-02,395.53
1,2023-12-03,649.54
1,2023-12-04,237.0
1,2023-12-05,674.18
1,2023-12-06,554.12
1,2023-12-07,393.28
1,2023-12-08,420.62
1,2023-12-09,279.65
1,2023-12-10,626.48
1,2023-12-11,459.01
1,2023-12-12,324.6
1,2023-12-13,517.24
1,2023-12-14,797.01
1,2023-12-15,404.68
1,2023-12-16,744.48
1,2023-12-17,341.51
1,2023-12-18,138.31
1,2023-12-19,242.97
1,2023-12-20,393.09
1,2023-12-21,253.74
1,2023-12-22,100.16
1,2023-12-23,740.5
1,2023-12-24,690.72
1,2023-12-25,619.6
1,2023-12-26,217.47
1,2023-12-27,184.25
1,2023-12-28,147.32
1,2023-12-29,606.82
1,2023-12-30,750.17
1,2023-12-31,401.38
2,2023-01-01,183.4
2,2023-01-02,458.67
2,2023-01-03,344.18
2,2023-01-04,362.38
2,2023-01-05,534.93
2,2023-01-06,603.1
2,2023-01-07,177.42
2,2023-01-08,124.91
2,2023-01-09,796.03
2,2023-01-10,262.91
2,2023-01-11,137.68
2,2023-01-12,232.91
2,2023-01-13,127.27
2,2023-01-14,374.27
2,2023-01-15,661.68
2,2023-01-16,338.87
2,2023-01-17,410.93
2,2023-01-18,572.91
2,2023-01-19,456.23
2,2023-01-20,703.01
2,2023-01-21,706.22
2,2023-01-22,106.94
2,2023-01-23,644.63
2,2023-01-24,422.51
2,2023-01-25,792.19
2,2023-01-26,438.26
2,2023-01-27,790.83
2,2023-01-28,628.2
2,2023-01-29,274.02
2,2023-01-30,476.88
2,2023-01-31,794.49
2,2023-02-01,700.27
2,2023-02-02,168.16
2,2023-02-03,594.46
2,2023-02-04,341.91
2,2023-02-05,104.89
2,2023-02-06,382.44
2,2023-02-07,264.33
2,2023-02-08,673.21
2,2023-02-09,336.13
2,2023-02-10,679.27
2,2023-02-11,100.42
2,2023-02-12,315.47
2,2023-02-13,268.82
2,2023-02-14,263.5
2,2023-02-15,147.73
2,2023-02-16,230.99
2,2023-02-17,488.88
2,2023-02-18,303.95
2,2023-02-19,392.18
2,2023-02-20,363.81
2,2023-02-21,713.13
2,2023-02-22,733.71
2,2023-02-23,445.07
2,2023-02-24,331.11
2,2023-02-25,174.76
2,2023-02-26,767.38
2,2023-02-27,142.16
2,2023-02-28,308.36
2,2023-03-01,308.65
2,2023-03-02,324.28
2,2023-03-03,215.0
2,2023-03-04,648.21
2,2023-03-05,185.75
2,2023-03-06,544.43
2,2023-03-07,186.69
2,2023-03-08,149.37
2,2023-03-09,736.6
2,2023-03-10,233.09
2,2023-03-11,674.88
2,2023-03-12,481.24
2,2023-03-13,154.5
2,2023-03-14,768.81
2,2023-03-15,272.87
2,2023-03-16,701.75
2,2023-03-17,218.17
2,2023-03-18,697.76
2,2023-03-19,109.26
2,2023-03-20,458.25
2,2023-03-21,638.61
2,2023-03-22,754.36
2,2023-03-23,736.44
2,2023-03-24,673.74
2,2023-03-25,721.73
2,2023-03-26,239.45
2,2023-03-27,298.93
2,2023-03-28,302.28
2,2023-03-29,363.94
2,2023-03-30,375.32
2,2023-03-31,481.19
2,2023-04-01,211.92
2,2023-04-02,583.87
2,2023-04-03,217.3
2,2023-04-04,317.22
2,2023-04-05,452.34
2,2023-04-06,657.51
2,2023-04-07,617.63
2,2023-04-08,551.87
2,2023-04-09,209.04
2,2023-04-10,482.93
2,2023-04-11,161.21
2,2023-04-12,364.15
2,2023-04-13,389.46
2,2023-04-14,127.87
2,2023-04-15,291.79
2,2023-04-16,768.95
2,2023-04-17,767.54
2,2023-04-18,346.63
2,2023-04-19,130.17
2,2023-04-20,225.37
2,2023-04-21,374.55
2,2023-04-22,763.45
2,2023-04-23,198.84
2,2023-04-24,634.46
2,2023-04-25,176.08
2,2023-04-26,786.88
2,2023-04-27,367.13
2,2023-04-28,642.66
2,2023-04-29,339.81
2,2023-04-30,539.37
2,2023-05-01,234.41
2,2023-05-02,202.21
2,2023-05-03,756.64
2,2023-05-04,742.35
2,2023-05-05,721.23
2,2023-05-06,537.8
2,2023-05-07,665.79
2,2023-05-08,148.33
2,2023-05-09,334.35
2,2023-05-10,319.59
2,2023-05-11,544.95
2,2023-05-12,349.17
2,2023-05-13,203.95
2,2023-05-14,517.53
2,2023-05-15,670.07
2,2023-05-16,367.49
2,2023-05-17,192.59
2,2023-05-18,237.68
2,2023-05-19,266.24
2,2023-05-20,309.93
2,2023-05-21,549.96
2,2023-05-22,520.66
2,2023-05-23,587.26
2,2023-05-24,353.75
2,2023-05-25,676.8
2,2023-05-26,242.86
2,2023-05-27,428.33
2,2023-05-28,660.66
2,2023-05-29,226.11
2,2023-05-30,176.9
2,2023-05-31,718.58
2,2023-06-01,340.05
2,2023-06-02,578.71
2,2023-06-03,117.74
2,2023-06-04,583.03
2,2023-06-05,321.27
2,2023-06-06,139.02
2,2023-06-07,526.87
2,2023-06-08,268.56
2,2023-06-09,370.77
2,2023-06-10,156.41
2,2023-06-11,203.01
2,2023-06-12,308.58
2,2023-06-13,162.83
2,2023-06-14,737.58
2,2023-06-15,104.23
2,2023-06-16,438.7
2,2023-06-17,186.27
2,2023-06-18,315.38
